title;type;scimago_value;jcs_value
International Journal of Hospitality Management;journal;2.32;9.24
Reviews in Fish Biology and Fisheries;journal;1.80;4.43
Transactions of the American Mathematical Society;journal;1.80;1.41
Seminars in Radiation Oncology;journal;1.76;5.93
Electronic Journal of Probability;journal;1.67;1.15
Telematics and Informatics;journal;1.57;6.18
Intelligence;journal;1.46;2.77
Journal of Environmental Management;journal;1.44;6.79
Inorganic Chemistry Frontiers;journal;1.42;6.57
Postharvest Biology and Technology;journal;1.40;5.54
Human Resources for Health;journal;1.40;3.19
IEEE Geoscience and Remote Sensing Letters;journal;1.37;3.97
Resources Policy;journal;1.28;5.63
Annals of Emergency Medicine;journal;1.24;5.72
Teachers College Record;journal;1.18;1.52
Climate and Development;journal;1.13;4.28
Food Packaging and Shelf Life;journal;1.10;6.43
Learned Publishing;journal;1.06;2.51
Clinics in Chest Medicine;journal;1.04;2.88
Philosophy of Science;journal;1.04;1.32
Annali di Matematica Pura ed Applicata;journal;0.99;0.97
Finite Elements in Analysis and Design;journal;0.96;2.97
Journal of Molecular Neuroscience;journal;0.94;3.44
Microbial Drug Resistance;journal;0.89;3.43
IEEE Transactions on Software Engineering;journal;0.86;6.23
Advances in Applied Mathematics;journal;0.80;0.85
Behavioural Processes;journal;0.78;1.78
Plant Foods for Human Nutrition;journal;0.78;3.92
Heart Lung and Circulation;journal;0.77;2.98
Drying Technology;journal;0.73;4.45
Translational Pediatrics;journal;0.70;2.49
Journal of Electronic Commerce Research;journal;0.69;2.86
Buildings;journal;0.58;2.65
Journal of Ultrasound in Medicine;journal;0.57;2.15
International Journal of Computational Methods;journal;0.56;2.19
Journal of Neurosurgical Sciences;journal;0.53;2.28
International Journal of Environmental Science and Technology;journal;0.51;2.86
Journal of Chinese Governance;journal;0.51;2.33
Systematic Botany;journal;0.51;1.10
Forest Systems;journal;0.46;1.26
Forest Science;journal;0.45;1.66
Astronomy Reports;journal;0.44;0.98
Houston Journal of Mathematics;journal;0.36;0.48
Journal of X-Ray Science and Technology;journal;0.36;1.54
Functions of Language;journal;0.32;0.73
Slavic Review;journal;0.29;0.66
Science and Engineering of Composite Materials;journal;0.29;1.30
Intelligence and National Security;journal;0.29;1.33
Revista Portuguesa de Cardiologia;journal;0.27;1.37
Integrated Ferroelectrics;journal;0.26;0.84
International Journal of Applied Electromagnetics and Mechanics;journal;0.24;0.71
Medicine;journal;0.20;1.89
Bulletin of the History of Medicine;journal;0.20;1.31
Philippine Agricultural Scientist;journal;0.17;0.25
Journal of Australian Studies;journal;0.13;1.03
Journal of Management;journal;7.49;11.79
npj 2D Materials and Applications;journal;3.91;11.11
Molecular Autism;journal;2.64;7.51
Precambrian Research;journal;2.36;4.73
Therapeutic Advances in Medical Oncology;journal;2.27;8.17
Journal of Lipid Research;journal;1.99;5.92
Transportation Science;journal;1.97;4.12
Nuclear Fusion;journal;1.77;3.18
Journal of Biogeography;journal;1.70;4.32
Therapeutic Advances in Neurological Disorders;journal;1.68;6.57
Journal of Small Business Management;journal;1.68;4.54
Cell Communication and Signaling;journal;1.62;5.71
Geography Compass;journal;1.59;4.83
Cognitive Development;journal;1.54;2.98
Qualitative Health Research;journal;1.30;3.28
Journal of Food and Drug Analysis;journal;1.28;6.08
Expert Review of Clinical Immunology;journal;1.24;4.47
Dialogues in Human Geography;journal;1.21;11.77
Seminars in Diagnostic Pathology;journal;1.21;3.46
Rice Science;journal;1.09;3.33
Animal Feed Science and Technology;journal;1.03;3.25
Sociologia Ruralis;journal;1.01;2.81
Artificial Intelligence in Medicine;journal;0.98;5.33
Clinical Chemistry and Laboratory Medicine;journal;0.98;3.69
Childhood Obesity;journal;0.91;2.99
Journal of Applied Gerontology;journal;0.86;3.20
Synapse;journal;0.81;2.56
Remote Sensing Letters;journal;0.80;2.58
International Journal of Control;journal;0.79;2.89
Geometriae Dedicata;journal;0.75;0.67
Games and Culture;journal;0.74;1.90
Parasitology Research;journal;0.72;2.29
Journal of the Formosan Medical Association;journal;0.71;3.28
Journal of Child Neurology;journal;0.66;1.99
Flow Measurement and Instrumentation;journal;0.63;2.04
Machining Science and Technology;journal;0.62;2.26
Brazilian Journal of Medical and Biological Research;journal;0.61;2.59
NeuroReport;journal;0.61;1.84
Materials Science and Technology;journal;0.61;1.92
Oxford Journal of Legal Studies;journal;0.50;1.70
Modern Asian Studies;journal;0.48;1.13
Acta Histochemica et Cytochemica;journal;0.42;1.94
Drugs of Today;journal;0.42;2.25
International Journal of Geometric Methods in Modern Physics;journal;0.41;1.87
Nordic Psychology;journal;0.40;1.30
Journal of Radioanalytical and Nuclear Chemistry;journal;0.37;1.37
Bio-Medical Materials and Engineering;journal;0.37;1.30
Economic and Social Review;journal;0.37;0.79
Acta Phytotaxonomica et Geobotanica;journal;0.26;0.54
Bulletin of the Korean Chemical Society;journal;0.24;0.97
ACTA Paulista de Enfermagem;journal;0.22;0.67
In Practice;journal;0.21;0.37
Bioscience Journal;journal;0.20;0.35
Journal of Magnetics;journal;0.20;0.51
Journal of Information Science and Engineering;journal;0.20;0.44
Journal of Southeast Asian Studies;journal;0.17;0.61
Bauphysik;trade journal;0.17;0.30
French Cultural Studies;journal;0.12;0.20
Journal of Spanish Cultural Studies;journal;0.12;0.23
Sintagma;journal;0.11;0.40
Feministische Studien;journal;0.10;0.12
Nature Reviews Materials;journal;32.01;66.31
Annual Review of Condensed Matter Physics;journal;8.32;16.11
Journal of Experimental Social Psychology;journal;2.40;3.60
Translational Research;journal;2.18;7.01
Liquid Crystals Reviews;journal;1.91;6.21
Lithos;journal;1.90;4.00
Food Chemistry;journal;1.77;7.51
Trends in Environmental Analytical Chemistry;journal;1.57;9.60
American Journal of Cardiology;journal;1.39;2.78
Hearing Research;journal;1.39;3.21
International Journal of Surgery;journal;1.32;6.07
Phytopathology;journal;1.26;4.03
Journal of Happiness Studies;journal;1.20;3.85
Physics of Fluids;journal;1.19;3.52
Applied Ergonomics;journal;1.09;3.66
AICHE Journal;journal;0.96;3.99
Linear Algebra and Its Applications;journal;0.95;1.40
Journal for the Scientific Study of Religion;journal;0.94;1.83
Current Opinion in Allergy and Clinical Immunology;journal;0.94;3.14
International Journal of Adhesion and Adhesives;journal;0.92;3.19
Continental Shelf Research;journal;0.89;2.39
Phonology;journal;0.85;1.07
International Journal of Developmental Biology;journal;0.84;2.20
Journal of Sports Science and Medicine;journal;0.82;2.99
Asian Journal of Mathematics;book series;0.81;0.62
Psychiatry Investigation;journal;0.78;2.51
Clinical Gerontologist;journal;0.78;2.62
Fusion Science and Technology;journal;0.75;1.10
Education and Urban Society;journal;0.74;1.21
Food and Nutrition Bulletin;journal;0.65;2.07
Allergy and Asthma Proceedings;journal;0.64;2.59
Virus Genes;journal;0.64;2.33
Archives of Insect Biochemistry and Physiology;journal;0.58;1.70
Journal of Oncology Pharmacy Practice;journal;0.55;1.81
European Journal of Transport and Infrastructure Research;journal;0.53;1.02
Neurochirurgie;journal;0.53;1.55
Polyhedron;journal;0.50;3.05
Journal of Business Economics and Management;journal;0.49;2.03
Journal of the Korean Ceramic Society;journal;0.42;1.67
Marine and Freshwater Behaviour and Physiology;journal;0.34;0.89
Russian Physics Journal;journal;0.32;0.66
Anthropological Science;journal;0.30;0.74
Inland Water Biology;journal;0.27;0.47
Indian Journal of Pharmaceutical Sciences;journal;0.25;0.98
Mausam;journal;0.24;0.64
Gefahrstoffe Reinhaltung der Luft;journal;0.20;0.32
Acta Scientiae Veterinariae;journal;0.18;0.34
Physiological Reviews;journal;13.85;37.31
JAMA Surgery;journal;3.76;14.77
Current Opinion in Microbiology;journal;3.68;7.93
Acta neuropathologica communications;journal;3.13;7.80
Current Psychiatry Reports;journal;2.21;5.29
Social and Personality Psychology Compass;journal;1.70;2.52
Travel Behaviour and Society;journal;1.70;4.98
Journal of Cataract and Refractive Surgery;journal;1.68;3.35
Journal of Inflammation Research;journal;1.66;6.92
Policy Sciences;journal;1.45;3.85
Crop Journal;journal;1.44;4.41
Clinical and Molecular Hepatology;journal;1.42;6.07
EPJ Quantum Technology;journal;1.39;4.46
Journal of Plant Physiology;journal;1.03;3.55
Zeitschrift fur Angewandte Mathematik und Physik;journal;0.99;1.93
ASAIO Journal;journal;0.96;2.87
PeerJ;journal;0.93;2.98
Nanoscale and Microscale Thermophysical Engineering;journal;0.84;2.18
Papers in Palaeontology;journal;0.83;2.36
Topics in Stroke Rehabilitation;journal;0.78;2.12
Acta Biochimica et Biophysica Sinica;journal;0.77;3.85
Results in Mathematics;journal;0.74;1.20
Plant Production Science;journal;0.74;2.22
Journal of Plant Ecology;journal;0.72;1.77
International Journal of Applied Linguistics;journal;0.71;1.27
ZooKeys;journal;0.67;1.55
Advances in Difference Equations;journal;0.67;2.80
Journal of Morphology;journal;0.65;1.80
Gland Surgery;journal;0.64;2.95
Catalysis Letters;journal;0.59;3.19
Journal of Consumer Affairs;journal;0.58;2.13
Contributions to Plasma Physics;journal;0.53;1.56
Prison Journal;journal;0.52;1.19
Episodes;journal;0.48;2.49
Raffles Bulletin of Zoology;journal;0.45;1.27
Mathematica Slovaca;journal;0.45;0.77
Microelectronics Reliability;journal;0.45;1.59
Protein and Peptide Letters;journal;0.43;1.89
Journal of Water Sanitation and Hygiene for Development;journal;0.41;1.25
Journal of Applied Ichthyology;journal;0.39;0.89
Civil Engineering and Environmental Systems;journal;0.38;2.13
Dendrobiology;journal;0.37;1.09
International Journal of Circuit Theory and Applications;journal;0.36;2.04
Optical Engineering;journal;0.36;1.08
HLA;journal;0.35;4.51
Fiber and Integrated Optics;journal;0.25;1.09
Russian Journal of General Chemistry;journal;0.23;0.87
Anales del Sistema Sanitario de Navarra;journal;0.18;0.83
Neurological Sciences and Neurophysiology;journal;0.15;0.36
Klinische Neurophysiologie;journal;0.14;0.27
Production and Operations Management;journal;3.28;4.97
Journal of Retailing;journal;3.18;5.25
Astrophysical Journal;journal;2.38;5.87
Current Topics in Membranes;journal;2.04;3.05
Thrombosis and Haemostasis;journal;1.97;5.25
Journal of the American Academy of Dermatology;journal;1.97;11.53
Frontiers in Cellular Neuroscience;journal;1.88;5.51
Liver International;journal;1.87;5.83
Legislative Studies Quarterly;journal;1.73;2.16
Frontiers in Microbiology;journal;1.70;5.64
Limnology and Oceanography;journal;1.70;4.75
Econometric Reviews;journal;1.42;1.72
Cancer Cell International;journal;1.32;5.72
Remote Sensing;journal;1.29;4.85
Nutrition;journal;1.00;4.01
Applied Developmental Science;journal;0.98;3.48
Cancer Biomarkers;journal;0.96;4.39
Pain Practice;journal;0.90;3.18
American Ethnologist;journal;0.88;2.14
Communications in Applied Mathematics and Computational Science;journal;0.83;0.80
CardioVascular and Interventional Radiology;journal;0.77;2.74
Entomologia Experimentalis et Applicata;journal;0.77;2.25
Ground Water Monitoring and Remediation;journal;0.68;2.02
Development Genes and Evolution;journal;0.67;0.90
Plant Disease;journal;0.66;4.44
Plant Ecology;journal;0.64;1.85
Journal of Cutaneous Pathology;journal;0.60;1.59
Eurasian Geography and Economics;journal;0.59;2.27
Macromolecular Chemistry and Physics;journal;0.57;2.53
Critical Policy Studies;journal;0.57;2.10
Annals of Human Genetics;journal;0.54;1.67
American Family Physician;journal;0.53;3.29
Journal of Craniofacial Surgery;journal;0.52;1.05
Acta Cytologica;journal;0.51;2.32
International Journal of Impotence Research;journal;0.51;2.90
Journal of Occupational and Environmental Hygiene;journal;0.50;2.16
Journal of Supercomputing;journal;0.45;2.47
Mathematical Communications;journal;0.44;1.08
Oral Radiology;journal;0.43;1.85
Journal of Material Culture;journal;0.41;1.22
Cerne;journal;0.39;1.12
Texas Heart Institute Journal;journal;0.37;1.46
Journal of Fish and Wildlife Management;journal;0.37;0.78
Social Behavior and Personality;journal;0.36;0.98
Technical Physics Letters;journal;0.34;0.71
Chinese Physics B;journal;0.33;1.49
Journal of the National Medical Association;journal;0.33;1.80
Journal of Substance Use;journal;0.33;1.00
Revista Brasileira de Anestesiologia;journal;0.31;0.96
International Journal of Lexicography;journal;0.29;0.72
Journal of Cytology;journal;0.27;1.00
Bulletin of Economic Research;journal;0.23;0.62
Revista Internacional de Contaminacion Ambiental;journal;0.19;0.38
Korean Journal of Defense Analysis;journal;0.15;0.41
Journal for the History of Astronomy;journal;0.10;0.40
Cell Systems;journal;7.64;10.30
mBio;journal;3.56;7.87
Review of Research in Education;journal;3.46;5.18
Materials Research Letters;journal;2.88;7.32
Traffic;journal;2.68;6.22
Journal of World Prehistory;journal;1.89;3.24
Pharmacological Research;journal;1.85;7.66
Seminars in Nephrology;journal;1.62;5.30
Classical and Quantum Gravity;journal;1.53;3.53
Psychological Inquiry;journal;1.41;4.28
Basic and Applied Ecology;journal;1.37;3.41
Academic Pediatrics;journal;1.32;3.11
Across Languages and Cultures;journal;1.26;1.16
International Journal of Solids and Structures;journal;1.23;3.90
Expert Opinion on Drug Safety;journal;1.09;4.25
Comments on Inorganic Chemistry;journal;1.06;4.53
Clinical and Translational Allergy;journal;0.98;5.87
Ecological Entomology;journal;0.87;2.47
IEEE Systems Journal;journal;0.86;3.93
Transcultural Psychiatry;journal;0.83;2.22
Journal of the Meteorological Society of Japan;journal;0.83;2.24
Journal of Environmental Planning and Management;journal;0.81;2.74
Signs and Society;journal;0.78;1.45
Bosnian Journal of Basic Medical Sciences;journal;0.74;3.36
Journal of American College Health;journal;0.71;3.09
Journal of Nursing Education;journal;0.70;1.73
Journal of Inorganic Biochemistry;journal;0.70;4.16
Quarterly Journal of Mechanics and Applied Mathematics;journal;0.67;1.00
Journal of Palliative Care;journal;0.66;2.25
Scandinavian Political Studies;journal;0.65;1.35
Neoplasma;journal;0.63;2.58
Journal of the Royal Anthropological Institute;journal;0.62;1.44
Clinical and Translational Imaging;journal;0.61;2.75
Journal of International Relations and Development;journal;0.60;2.20
Annals of Public and Cooperative Economics;journal;0.53;1.91
Journal of Physical and Chemical Reference Data;journal;0.53;2.83
Ensenanza de las Ciencias;journal;0.50;1.22
Molecular Informatics;journal;0.48;3.35
Journal of Transport Economics and Policy;journal;0.40;1.05
Ricerche di Matematica;journal;0.39;1.03
Electronics Letters;journal;0.38;1.31
Chinese Journal of Analytical Chemistry;journal;0.37;1.13
ACM Transactions on Reconfigurable Technology and Systems;journal;0.36;2.09
Canadian Journal of Plant Science;journal;0.34;1.02
Revista Internacional de Medicina y Ciencias de la Actividad Fisica y del Deporte;journal;0.34;1.41
Journal of Biological Physics;journal;0.32;1.37
British Journal for the History of Science;journal;0.29;1.47
International Journal on Artificial Intelligence Tools;journal;0.28;1.21
Polish Journal of Chemical Technology;journal;0.28;1.13
Australian Aboriginal Studies;journal;0.16;0.54
Wiener Tierarztliche Monatsschrift;journal;0.13;0.35
Nature Reviews Molecular Cell Biology;journal;37.46;94.44
Environmental Pollution;journal;2.14;8.07
Horticulture Research;journal;1.95;6.79
Inflammatory Bowel Diseases;journal;1.93;5.33
Journal of Psychiatric Research;journal;1.88;4.79
Globalization and Health;journal;1.47;4.19
Internet Research;journal;1.38;6.77
Comunicar;journal;1.22;6.01
Annals of Medicine;journal;1.15;4.71
Self and Identity;journal;1.12;3.30
Case Studies in Construction Materials;journal;0.97;3.33
IEEE Transactions on Big Data;journal;0.96;3.34
Estuaries and Coasts;journal;0.94;2.98
Geological Magazine;journal;0.94;2.45
Archives of Public Health;journal;0.91;2.59
Journal of Computational Chemistry;journal;0.91;3.38
International Journal of Gynecological Cancer;journal;0.90;3.44
Advances in Life Course Research;journal;0.86;2.33
Revista Brasileira de Psiquiatria;journal;0.81;2.70
IEEE Transactions on Broadcasting;journal;0.78;3.86
Molecules;journal;0.78;4.41
RELC Journal;journal;0.78;1.60
Journal of the American College of Nutrition;journal;0.75;3.17
